"Cryptogram","Label"
"JHZUYYH OL H LDHP LRLDUT CB BCAP LDHPL OE DSU JCELDUYYHDOCE CB HAPOFH HZZUHPOEF HL H LOEFYU LDHP DC DSU EHMUX URU OD OL DSU DSOPXKPOFSDULD LDHP CP LDHP LRLDUT OE DSU ECPDSUPE JUYULDOHY SUTOLZSUPU HBDU",0
"DSU HFU CB PUHLCE KUOEF HE OEVULDOFHDOCE CB DPAU HEX BHKAYCAL DSUCYCFR OL H ICPM KR UEFYOLS HEX HTUPOJHE ZCYODOJHY HJDOVOLD DSCTHL ZHOEU HPFAOEF BCP DSU ZSOYCLCZSOJHY ZCLODOCE CB XUOLT OD BCYYCIL OE D",0
"DSU TCLD OTZCPDHED ZCLODOCE DSHD AEODUX DSU UHPYR XUOLDL IHL DSUOP JHYY BCP BPUU PHDOCEHY OEWAOPR OEDC HYY LAKNUJDL ULZUJOHYYR PUYOFOCE LHROEF DSHD UHPYR JSPOLDOHEODR IHL BCAEXUX CE BPUUXCT CB JCELJOU",0
"MECIE EUCL OEJYAXU TCPU DSHE LUVUEDUUE DSCALHEX EUHPUHPDS HLDUPCOXL EUHL TCPU DSHE CEU SAEXPUX LSCPDZUPOCX EUHPUHPDS JCTUDL EUJL HEX H EATKUP CB LCYHPCPKODOEF LZHJUJPHBD HEX TUDUCPCOXL YHPFU UECAFS DC",0
"ISUE H EUC OL XUDUJDUX YOMU HYY CDSUP LTHYY LCYHP LRLDUT KCXOUL OD OL LAKTODDUX DC DSU OEDUPEHDOCEHY HLDPCECTOJHY AEOCEL OHAL TOECP ZYHEUD JUEDUP TZJ BCP JHDHYCFOEF TZJ THOEDHOEL LUZHPHDU YOLDL CB JCE",0
"LDUZSUE IOYYOHT SHIMOEF JS JKU BPL BPLH  NHEAHPR    THPJS  IHL HE UEFYOLS DSUCPUDOJHY ZSRLOJOLD JCLTCYCFOLD HADSCP HEX XOPUJDCP CB PULUHPJS HD DSU JUEDPU BCP DSUCPUDOJHY JCLTCYCFR IODSOE DSU AEOVUPLOD",0
"SHIMOEF HDDUEXUX DIC OEXUZUEXUED OU BUUZHROEF LJSCCYL BOPLD PHXYUDD LJSCCY HEX BPCT LUZDUTKUP  LD HYKHEL LJSCCY HBDUP ZHLLOEF DSU UYUVUEZYAL H RUHP UHPYR DSU BHTOYR ZYHJUX H SOFS VHYAU CE UXAJHDOCE SH",0
"OE SOL ICPM HEX OE JCYYHKCPHDOCE IODS ZUEPCLU SHIMOEF UQDUEXUX DSU LOEFAYHPODR DSUCPUT JCEJUZDL BOPLD UQZYCPUX OE SOL XCJDCPHY DSULOL DSOL OEJYAXUX ECD CEYR DSU UQOLDUEJU CB LOEFAYHPODOUL KAD HYLC DSU",0
"PCKUPD LDUPYOEF RHPX  IHL HE HTUPOJHE IPODUP NCAPEHYOLD HEX IOYXUPEULL HJDOVOLD RHPX FPHXAHDUX BPCT ZPOEJUDCE AEOVUPLODR HEX LZUED DSU BOPLD DIUEDR RUHPL CB SOL JHPUUP HL H NCAPEHYOLD UXODCP HEX ZAKYO",0
"OD DSU TCVOU HPD BCPT JCTKOEUL LC THER CDSUP HPD BCPTL HL XC DSUHDUP HEX CZUPH KAD DSU ULLUEJU CB JOEUTH OL UXODOEF ODL DSU JCTKOEHDOCE CB ISHD JHE KU UQDPHCPXOEHPR OTHFUL OTHFUL CB ZUCZYU XAPOEF UTCD",0
